Based on ENTLI (up to 2013). vc=Volume class. vc_1(minor): <20 m^3, vc_2(medium): 20-50 m^3, vc_3(major): 50-500 m^3, vc_4(catastrophic): >500 m^3
RunoutDistance_lb,RunoutDistance_ub,vc_1,vc_2,vc_3,vc_4
0.1,10,0.32361099,0.098145734,0.033415048,0.008947175
10,30,0.502438624,0.499759258,0.288291505,0.072372922
30,50,0.115274964,0.234788738,0.259766027,0.110107343
50,70,0.033996767,0.090766178,0.161419493,0.119796516
70,90,0.012662506,0.038114709,0.095788047,0.11469012
90,110,0.00554337,0.017622063,0.057609191,0.102893095
110,130,0.002724147,0.008850246,0.035554668,0.088959044
130,150,0.001459434,0.004758904,0.022543787,0.075234269
150,170,0.000835943,0.002707291,0.014659261,0.062788533
170,190,0.000505032,0.001614243,0.009752526,0.051997098
190,210,0.000318681,0.001001429,0.006622737,0.042882206
210,230,0.000208503,0.000642642,0.004581184,0.035304048
230,250,0.000140657,0.000424621,0.003222262,0.029062793
250,270,9.74E-05,0.000287795,0.002301005,0.023950128
270,290,6.90E-05,0.000199471,0.001665981,0.019773077
290,310,4.99E-05,0.00014102,0.001221567,0.016363155
310,330,3.67E-05,0.000101474,0.000906195,0.013578131
330,350,2.74E-05,7.42E-05,0.000679516,0.011300349
