X,Y,Rainfall
830607,814883,227
831226,815748,260
831790,813592,275.5
832306,816024,269
834419,812672,287
836209,814939,323.5
837298,815215,216
837130,813918,301
838742,816479,279
832977,815184,248
833301,815740,277
842086,813774,291
840267,808547,270.5
833767,814303,347
834950,814765,350
840253,815878,280
841655,815228,310
833516,811763,223
834934,811542,264
835927,812499,274.5
833447,816657,207.5
840826,811961,275.5
843747,810697,266
844036,814088,255
836346,819525,242.5
841188,819957,221
841237,821549,169
842912,817594,190
834530,822371,191
838661,823562,174
842255,818602,224.5
838209,821503,193
832392,820905,243.5
835336,824813,163
838019,827550,119.5
831354,826091,100.5
831444,822913,165.5
832596,839416,45.5
832387,824958,140
814598,828219,37
843344,822264,158
839925,830675,81
824255,825495,115
827699,821980,172.5
820220,834088,26.5
852916,826527,90
830856,830180,76
845889,827047,109
845360,819890,214
811397,815539,85
817992,814038,138.5
805560,811362,79
849044,816943,228
811431,813837,99
811987,810236,111
817864,819365,171
821182,821563,154.5
821936,816232,151
820958,807601,128
831596,807431,264
811005,831653,26.5
815827,830636,31.5
846409,817465,269.5
820392,825596,80
821645,829722,47
823229,837363,42
830245,842003,41.5
833331,835601,60
829768,832255,71
828849,829689,88
828954,826520,111
828714,824832,114
832828,827280,112
836677,832233,124.5
837167,825730,151.5
840187,826944,135.5
842933,831863,81
839249,835337,60.5
843039,840715,75.5
844657,831931,86
848830,828393,111.5
812303,825370,33
844960,826228,119.5
844117,802763,322.5
851547,835422,73.5
804276,812600,77
828872,839303,43.5
820783,806952,117.5
829297,823224,117.5
809996,818959,79.8
835992,818106,249.2
836961,814640,281.5
844379,819647,200.5
849129,844079,45
830495,832602,61.5
835848,819213,252.5
816376,836612,31.5
822503,816916,142
856304,824741,115.9
808904,813003,84.5
818989,816953,143
844324,807865,270.5
847605,818730,184
840022,816911,248
819270,838546,34
835735,834019,65.5
839758,844196,40.5
852003,830428,87.5
826332,841342,41.5
842651,837641,65.5
840021,818970,204.5
826779,832970,43
839679,829246,77
808447,816935,118.5
829500,840255,44
832150,821861,204.5
840483,824297,136.5
834193,843210,37
830865,830144,68.5
814367,827412,31.5
851325,829287,104.5
834013,813932,276.5
849306,804857,199.5
818980,836365,32.5
